name,category_id,unit_id,price,cost,quantity,sku,image_url,is_active
Banana Nanica,Frutas,kg,6.99,4.50,50.00,BAN001,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=400&h=400&fit=crop,true
Maçã Argentina,Frutas,kg,9.99,6.50,30.00,MAC001,https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=400&h=400&fit=crop,true
Laranja Pera,Frutas,kg,5.49,3.50,40.00,LAR001,https://images.unsplash.com/photo-1557800634-7bf3c73bf393?w=400&h=400&fit=crop,true
Mamão Papaya,Frutas,kg,7.99,5.00,25.00,MAM001,https://images.unsplash.com/photo-1559181567-c3190ca9959b?w=400&h=400&fit=crop,true
Melancia,Frutas,kg,3.99,2.50,15.00,MEL001,https://images.unsplash.com/photo-1571575173700-afb9492e6a50?w=400&h=400&fit=crop,true
Abacaxi,Frutas,un,6.50,4.00,20.00,ABA001,https://images.unsplash.com/photo-1550258987-190a2d41a8ba?w=400&h=400&fit=crop,true
Manga Tommy,Frutas,kg,8.99,5.50,35.00,MAN001,https://images.unsplash.com/photo-1605027990121-4754726cf54d?w=400&h=400&fit=crop,true
Uva Itália,Frutas,kg,12.99,8.00,20.00,UVA001,https://images.unsplash.com/photo-1537640538966-79f369143b8f?w=400&h=400&fit=crop,true
Morango,Frutas,kg,15.99,10.00,15.00,MOR001,https://images.unsplash.com/photo-1464965911861-746a04b4bca6?w=400&h=400&fit=crop,true
Limão Taiti,Frutas,kg,4.99,3.00,30.00,LIM001,https://images.unsplash.com/photo-1559181567-c3190ca9959b?w=400&h=400&fit=crop,true
Pera,Frutas,kg,8.49,5.50,25.00,PER001,https://images.unsplash.com/photo-1559181567-c3190ca9959b?w=400&h=400&fit=crop,true
Kiwi,Frutas,kg,18.99,12.00,20.00,KIW001,https://images.unsplash.com/photo-1559181567-c3190ca9959b?w=400&h=400&fit=crop,true
